Facility,FltDate,FltNo,Fl Inv,Class,Ite Group,Ite code,Ite Desc,AlBillCode,AlBillDesc,BillCatg,Unit,Pax,Qty,UnitPrice,TotalAmount
BGI3,1/1/2025,197,SI011690,J,VS,JSN05,LO7135 - ORIGINAL SHIRLEY,LO7135,ORIGINAL SHIRLEY BISCUIT,STO,EA,13,13,1.096,14.25
BGI3,1/1/2025,197,SI011690,Y,VS,3YS035,145991-TRANS.- HANDLING 33J,145991,TURNAROUND - STRIP - LOAD - A330-300 - 3 FLIGHTS,SER,EA,71,1,483.897,483.9
BGI3,1/1/2025,198,SI011698,F,VS,1FGF01,SP124540- GFML [F/C],SP124540,GFML,FOO,EA,32,1,31.461,31.46
BGI3,1/1/2025,198,SI011698,F,VS,1FVG01,SP124533- VGML [F/C],SP124533,VGML,FOO,EA,32,2,32.179,64.36
BGI3,1/1/2025,198,SI011698,F,VS,FAN12,19381- MILK 100%,19381,FULL FAT MILK - PINT,STO,EA,32,4,4.805,19.22
BGI3,1/1/2025,198,SI011698,F,VS,FAN13,19383- MILK 2%,19383,SEMI SKIMMED MILK - PINT,STO,EA,32,2,4.805,9.61
BGI3,1/1/2025,198,SI011698,F,VS,FAN14,19385-LEMON HALVES,19385,LEMON WEDGES,FOO,EA,32,2,5.125,10.25
BGI3,1/1/2025,198,SI011698,F,VS,FAN21,19379-WET ICE[6LB BAG],19379,WET ICE,WET,EA,32,4,2.942,11.77
BGI3,1/1/2025,198,SI011698,F,VS,FAN30,7041- LIME WEDGES,7041,LIME WEDGES,FOO,EA,32,2,4.78,9.56
BGI3,1/1/2025,198,SI011698,F,VS,FPAX04,23234-PER PASSENGER CHARGE,23234,OVERHEAD - J PAX OVERHEAD - PER PAX,SER,EA,32,18,36.774,661.93
BGI3,1/1/2025,198,SI011698,J,VS,1JCH03,SP124631 - CHILD MEAL [J/C],SP124631,CHML,FOO,EA,46,1,14.622,14.62
BGI3,1/1/2025,198,SI011698,J,VS,1JMO01,SP124624 - MOML [J/C],SP124624,MOML,FOO,EA,46,1,12.154,12.15
BGI3,1/1/2025,198,SI011698,J,VS,JDT33,LO2622- TRAY SET MM,LO2622,TRAY SET UP,SER,EA,46,44,16.138,710.07
BGI3,1/1/2025,198,SI011698,J,VS,JPAX02,23237-PER PASSENGER CHARGE,23237,OVERHEAD - W PAX OVERHEAD - PER PAX,SER,EA,46,28,16.939,474.29
BGI3,1/1/2025,198,SI011698,Y,VS,1YAV01,SP124700- AVML [Y/C],SP124700,AVML,FOO,EA,184,1,15.115,15.12
BGI3,1/1/2025,198,SI011698,Y,VS,1YCH04,SP124709- CHML [Y/C],SP124709,CHML,FOO,EA,184,6,14.622,87.73
BGI3,1/1/2025,198,SI011698,Y,VS,1YFP01,SP124713 - FPML [Y/C],SP124713,FPML,FOO,EA,184,1,18.156,18.16
BGI3,1/1/2025,198,SI011698,Y,VS,1YGF01,SP124706 - GFML [Y/C],SP124706,GFML,FOO,EA,184,2,22.504,45.01
BGI3,1/1/2025,198,SI011698,Y,VS,1YMO01,SP124702 - MOML [Y/C],SP124702,MOML,FOO,EA,184,4,12.154,48.62
BGI3,1/1/2025,198,SI011698,Y,VS,1YNL01,SP124712 - NLML [Y/C],SP124712,NLML,FOO,EA,184,3,22.504,67.51
BGI3,1/1/2025,198,SI011698,Y,VS,1YVG01,SP124699- VGML [Y/C],SP124699,VGML,FOO,EA,184,5,14.694,73.47
BGI3,1/1/2025,198,SI011698,Y,VS,3YDS01,3354- ORANGE JUICE-1LT,3354,BEVERAGES - ORANGE JUICE - 1 LT,STO,EA,184,28,2.124,59.47
BGI3,1/1/2025,198,SI011698,Y,VS,3YDS02,3335-TOMATO JUICE 1LT,3335,BEVERAGES - TOMATO JUICE - 1 LT,STO,EA,184,3,4.057,12.17
BGI3,1/1/2025,198,SI011698,Y,VS,3YDS03,3376-CRANBERRY JUICE,3376,BEVERAGES - CRANBERRY JUICE - 1 LT,STO,EA,184,3,5.101,15.3
BGI3,1/1/2025,198,SI011698,Y,VS,3YDS04,3353-APPLE JUICE 1LTR,3353,BEVERAGES - APPLE JUICE - 1 LT,STO,EA,184,17,2.124,36.11
BGI3,1/1/2025,198,SI011698,Y,VS,3YDS06,3476-MINERAL WATER 1.5LT,3476,BEVERAGES - MINERAL WATER STILL - 1 LT,STO,EA,184,54,2.36,127.44
BGI3,1/1/2025,198,SI011698,Y,VS,3YDS07,33169-SPARKLING WATER 1LT,33169,BEVERAGES - MINERAL WATER SPARK - 1 LT,STO,EA,184,13,3.274,42.56
BGI3,1/1/2025,198,SI011698,Y,VS,3YDS11,213774-PLASTIC BAG,213774,EQUIPMENT - BAG- PLASTIC BAG,EQU,EA,184,1,0.368,0.37
BGI3,1/1/2025,198,SI011698,Y,VS,3YS022,ORANGE LINEN BAG,151383,LAUNDRY - BAG LINEN ORANGE 2014,LAU,EA,184,1,1.969,1.97
BGI3,1/1/2025,198,SI011698,Y,VS,3YS023,LINEN TABLECLOTH,3526,LAUNDRY - TABLE CLOTH/RUNNER 2014,LAU,EA,184,33,0.652,21.52
